ID_Étudiant,Âge,Sexe,Région,Niveau_Éducation_Parents,Note_Moyenne,Taux_Absentéisme,Devoirs_Remis,Temps_Moodle_Heures,Participation_Forums,Satisfaction,Abandon,Cluster
Etudiant_1,28,Homme,Périurbain,Secondaire,10.0,46,35,26,0,5,Non,2
Etudiant_2,19,Femme,Rural,Aucun,18.5,48,100,39,11,7,Oui,1
Etudiant_3,18,Femme,Rural,Secondaire,10.4,7,50,43,18,1,Oui,1
Etudiant_4,29,Homme,Rural,Secondaire,16.0,2,46,28,18,3,Oui,0
Etudiant_5,22,Femme,Périurbain,Supérieur,14.5,42,14,13,4,3,Non,2
Etudiant_6,21,Homme,Périurbain,Secondaire,1.6,26,72,5,18,4,Non,0
Etudiant_7,21,Homme,Rural,Supérieur,12.0,39,25,6,6,6,Oui,2
Etudiant_8,20,Homme,Rural,Supérieur,16.4,49,75,8,15,7,Non,1
Etudiant_9,29,Femme,Rural,Aucun,10.9,1,69,48,17,10,Non,1
Etudiant_10,19,Femme,Urbain,Aucun,6.4,15,23,7,9,8,Non,2
Etudiant_11,28,Homme,Périurbain,Aucun,1.6,13,87,37,5,3,Oui,1
Etudiant_12,29,Homme,Urbain,Aucun,13.2,4,98,46,15,6,Non,1
Etudiant_13,26,Homme,Périurbain,Supérieur,6.1,6,70,24,1,3,Non,1
Etudiant_14,19,Homme,Rural,Aucun,12.1,38,3,22,2,2,Non,2
Etudiant_15,27,Femme,Urbain,Supérieur,8.5,2,93,27,1,8,Oui,1
Etudiant_16,24,Homme,Rural,Aucun,13.8,28,59,20,7,6,Non,2
Etudiant_17,18,Homme,Urbain,Secondaire,7.0,38,90,50,19,3,Oui,1
Etudiant_18,18,Femme,Rural,Secondaire,0.8,43,26,8,7,6,Non,0
Etudiant_19,19,Femme,Périurbain,Supérieur,17.4,45,56,15,0,1,Oui,2
Etudiant_20,21,Homme,Rural,Secondaire,7.1,3,37,17,16,1,Oui,0
Etudiant_21,21,Femme,Périurbain,Secondaire,20.0,15,88,41,15,8,Oui,1
Etudiant_22,26,Homme,Rural,Supérieur,5.5,47,8,5,0,5,Oui,0
Etudiant_23,27,Homme,Rural,Secondaire,19.6,2,52,15,10,4,Oui,2
